N,P,Avg_Return
45,128.6409824,0.0060986077
45,127.2125469,-0.01110404673
45,131.7876698,0.03596440004
45,130.1767002,-0.01222397818
45,130.6847755,0.00390296625
45,126.2590711,-0.03386549296
45,128.2197943,0.01552936445
45,126.9630378,-0.009801579377
45,121.8063069,-0.04061600112
45,122.9305007,0.00922935674
45,125.827887,0.02356930296
45,126.3795926,0.004384605393
45,130.0203645,0.02880822655
45,129.6850503,-0.002578936291
45,128.8801612,-0.006206490944
45,125.2941461,-0.02782441518
45,127.9291492,0.02103053652
45,127.6327905,-0.00231658426
45,126.9080834,-0.005678064117
45,123.5647791,-0.02634429711
45,118.4596663,-0.04131527495
45,121.000023,0.02144490853
45,119.1952464,-0.01491550624
45,118.228536,-0.008110310097
45,121.7106977,0.02945280209
45,120.5117691,-0.009850642829
45,119.0913464,-0.01178658909
45,120.8616499,0.01486508958
45,119.2694064,-0.01317410004
45,118.5097092,-0.006369590361
45,119.2311699,0.006087777685
45,117.6101052,-0.01359598119
45,116.5154731,-0.009307295709
45,117.0807134,0.004851203587
45,116.0003218,-0.009227750413
46,114.9566309,-0.008997310438
46,114.1757127,-0.00679315536
46,113.5303314,-0.005652526464
46,113.0130151,-0.004556635031
46,113.6562582,0.005691760599
46,113.1641776,-0.004329551347
46,112.3850776,-0.006884687397
46,114.7062641,0.02065386757
46,115.9351877,0.0107136573
46,116.0799407,0.001248568201
46,115.9661792,-0.0009800272365
46,115.5501073,-0.003587872373
46,115.7327649,0.001580764847
46,114.9250194,-0.006979402119
46,116.0799133,0.01004910825
46,114.9715859,-0.009547969571
46,116.5546325,0.01376902486
46,119.3496136,0.02398000858
46,119.3231206,-0.0002219780623
45,117.6369172,-0.01413140538
45,116.6877522,-0.008068598019
45,117.4594485,0.006613344193
45,117.6749827,0.001834967503
45,117.2253752,-0.003820756771
45,117.7995548,0.004898082577
45,120.7594103,0.02512620288
45,124.6160351,0.03193643308
45,125.2308703,0.004933836851
45,124.1177678,-0.008888403911
45,124.0818338,-0.0002895149084
45,132.7112753,0.06954637273
45,132.2610692,-0.003392372446
45,128.9714543,-0.02487213335
45,135.5492275,0.05100177628
45,138.3374399,0.0205697401
45,140.6166505,0.01647573215
45,139.4965737,-0.007965463378
45,137.8025426,-0.01214389088
45,141.4126598,0.02619775529
45,140.7947268,-0.004369715163
45,136.6895782,-0.02915697677
45,137.8815084,0.008719978716
45,135.4610581,-0.01755456805
45,139.2159052,0.02771901517
45,131.0245177,-0.05883945208
45,138.5900202,0.05774112129
45,140.6674778,0.01498995106
45,138.7625453,-0.01354209631
45,136.3003231,-0.01774414153
45,134.0136777,-0.01677652193
45,131.0248148,-0.02230267081
45,133.0869821,0.01573875434
45,137.0337598,0.02965562488
45,140.7073555,0.02680796142
45,135.6583327,-0.03588314735
